benchmark,pairwise_rank,method,pairwise_score,pooled_auc,pooled_rank,rank_change,separated_from_leader,leader,n_targets,n_eligible,n_entered
Binding,4,DisorderNet-pbias,0.732296,0.787414,3,-1,False,DisorderNet-Ensemble,49,72,120
Binding,5,AlphaFold3-binding,0.730924,0.767128,7,2,False,DisorderNet-Ensemble,49,72,120
Binding,6,LIPNet,0.708710,0.632842,60,54,False,DisorderNet-Ensemble,49,72,120
Binding,7,DisorderUnetLM,0.708377,0.721523,33,26,False,DisorderNet-Ensemble,49,72,120
Binding,8,AIUPred-2-binding,0.702350,0.763868,9,1,False,DisorderNet-Ensemble,49,72,120
Binding,9,flDPnn3a,0.687519,0.750190,14,5,False,DisorderNet-Ensemble,49,72,120
Binding,10,UdonPred-combined,0.680535,0.752869,13,3,True,DisorderNet-Ensemble,49,72,120
Binding,11,IPA-Protein-bind,0.673975,0.761268,10,-1,False,DisorderNet-Ensemble,49,72,120
Binding,12,flDPnn3b,0.671027,0.746142,17,5,True,DisorderNet-Ensemble,49,72,120
Binding,13,flDPlr,0.668161,0.740951,18,5,True,DisorderNet-Ensemble,49,72,120
Binding,14,IPA-All-bind,0.667603,0.772683,5,-9,False,DisorderNet-Ensemble,49,72,120
Binding,15,flDPnn2,0.661751,0.719279,35,20,False,DisorderNet-Ensemble,49,72,120
Binding,16,DeepDISObind-nucleic,0.655356,0.756047,11,-5,False,DisorderNet-Ensemble,49,72,120
Binding,17,ProBiPred-nucleic,0.654207,0.587700,62,45,False,DisorderNet-Ensemble,49,72,120
Binding,18,UdonPred-DisProt,0.651002,0.704452,44,26,True,DisorderNet-Ensemble,49,72,120
Binding,19,DeepDISObind-all,0.647577,0.754401,12,-7,True,DisorderNet-Ensemble,49,72,120
Binding,20,flDPnn,0.645466,0.728843,26,6,True,DisorderNet-Ensemble,49,72,120
Binding,21,ESpritz-D,0.644357,0.797226,1,-20,False,DisorderNet-Ensemble,49,72,120
Binding,22,DeepDISObind-protein,0.643617,0.749565,15,-7,True,DisorderNet-Ensemble,49,72,120
Binding,23,DeepIDP-2L,0.639970,0.766875,8,-15,True,DisorderNet-Ensemble,49,72,120
Binding,24,AlphaFold3-rsa,0.637936,0.722742,32,8,True,DisorderNet-Ensemble,49,72,120
Binding,25,AUCpred-profile,0.635746,0.735549,20,-5,True,DisorderNet-Ensemble,49,72,120
Binding,26,AlphaFold-rsa,0.628240,0.704994,43,17,True,DisorderNet-Ensemble,49,72,120
Binding,27,SETH-1,0.627768,0.689797,52,25,True,DisorderNet-Ensemble,49,72,120
Binding,28,UdonPred-TriZOD,0.626033,0.689950,51,23,True,DisorderNet-Ensemble,49,72,120
Binding,29,flDPlr2,0.624860,0.733486,23,-6,True,DisorderNet-Ensemble,49,72,120
Binding,30,DisoMine,0.624675,0.735431,21,-9,True,DisorderNet-Ensemble,49,72,120
Binding,31,LINKER-Pred2,0.622556,0.697026,46,15,True,DisorderNet-Ensemble,49,72,120
Binding,32,PredIDR2-Prof-Rnd,0.620097,0.738410,19,-13,True,DisorderNet-Ensemble,49,72,120
Binding,33,Metapredict-v3,0.619575,0.717621,37,4,True,DisorderNet-Ensemble,49,72,120
Binding,34,LINKER-Pred,0.617308,0.675780,55,21,True,DisorderNet-Ensemble,49,72,120
Binding,35,PUNCH2-Light,0.615230,0.725272,29,-6,True,DisorderNet-Ensemble,49,72,120
Binding,36,PUNCH2,0.614671,0.726133,28,-8,True,DisorderNet-Ensemble,49,72,120
Binding,37,AlphaFold3-pLDDT,0.611843,0.666322,57,20,True,DisorderNet-Ensemble,49,72,120
Binding,38,AIUPred-2-disorder,0.611296,0.732587,24,-14,True,DisorderNet-Ensemble,49,72,120
Binding,39,PredIDR2-Prof-Art,0.610697,0.728694,27,-12,True,DisorderNet-Ensemble,49,72,120
Binding,40,rawMSA,0.607197,0.780856,4,-36,True,DisorderNet-Ensemble,49,72,120
Binding,41,Metapredict-v2,0.603766,0.706638,42,1,True,DisorderNet-Ensemble,49,72,120
Binding,42,AlphaFold-pLDDT,0.603555,0.644920,58,16,True,DisorderNet-Ensemble,49,72,120
Binding,43,LMDisorder,0.603000,0.696151,48,5,True,DisorderNet-Ensemble,49,72,120
Binding,44,SETH-0,0.602826,0.690841,50,6,True,DisorderNet-Ensemble,49,72,120
Binding,45,MobiDB-lite,0.595456,0.718594,36,-9,True,DisorderNet-Ensemble,49,72,120
Binding,46,DISOPRED3-diso,0.595268,0.681797,54,8,True,DisorderNet-Ensemble,49,72,120
Binding,47,DARUMA-beta,0.595163,0.734733,22,-25,True,DisorderNet-Ensemble,49,72,120
Binding,48,AIUPred,0.593253,0.724321,31,-17,True,DisorderNet-Ensemble,49,72,120
Binding,49,ESpritz-N,0.591201,0.674880,56,7,True,DisorderNet-Ensemble,49,72,120
Binding,50,IPA-Nucleotide-bind,0.589883,0.709410,39,-11,True,DisorderNet-Ensemble,49,72,120
Binding,51,Metapredict-v1,0.589664,0.714959,38,-13,True,DisorderNet-Ensemble,49,72,120
Binding,52,SPOT-Disorder-Single,0.589602,0.731628,25,-27,True,DisorderNet-Ensemble,49,72,120
