benchmark,method,alpha,flagged_median,flagged_iqr_lo,flagged_iqr_hi,realised_risk_median,flagged_per_protein,calibration_credit,n_splits
Disorder-PDB,bindEmbed21IDR-rawGeneral,0.05,0.9895,0.9879,0.9901,0.0355,0.9900,0.0005,12
Disorder-PDB,bindEmbed21IDR-rawNuc,0.2,0.8468,0.8362,0.8917,0.1999,0.9240,0.0772,12
Disorder-PDB,bindEmbed21IDR-rawNuc,0.1,0.9356,0.9137,0.9471,0.0896,0.9670,0.0314,12
Disorder-PDB,bindEmbed21IDR-rawNuc,0.05,0.9778,0.9746,0.9818,0.0392,0.9840,0.0062,12
Disorder-PDB,flDPlr,0.2,0.4934,0.4590,0.5140,0.2213,0.3990,-0.0944,12
Disorder-PDB,flDPlr,0.1,0.6559,0.6393,0.7002,0.1006,0.5850,-0.0709,12
Disorder-PDB,flDPlr,0.05,0.8279,0.7864,0.8471,0.0399,0.7480,-0.0799,12
Disorder-PDB,flDPlr2,0.2,0.5001,0.4578,0.5316,0.2059,0.3990,-0.1011,12
Disorder-PDB,flDPlr2,0.1,0.6928,0.6664,0.7034,0.0805,0.5610,-0.1318,12
Disorder-PDB,flDPlr2,0.05,0.8903,0.8537,0.9072,0.0316,0.7370,-0.1533,12
Disorder-PDB,flDPnn2,0.2,0.4686,0.4302,0.4959,0.1903,0.3840,-0.0846,12
Disorder-PDB,flDPnn2,0.1,0.6792,0.6213,0.7041,0.0759,0.5830,-0.0962,12
Disorder-PDB,flDPnn2,0.05,0.8252,0.7743,0.8401,0.0330,0.7270,-0.0982,12
Disorder-PDB,flDPnn3a,0.2,0.3886,0.3652,0.4085,0.2091,0.3130,-0.0756,12
Disorder-PDB,flDPnn3a,0.1,0.5352,0.5036,0.5854,0.1023,0.4910,-0.0442,12
Disorder-PDB,flDPnn3a,0.05,0.7078,0.6481,0.7276,0.0475,0.6620,-0.0458,12
Disorder-PDB,flDPnn3b,0.2,0.4197,0.3966,0.4406,0.1909,0.3420,-0.0777,12
Disorder-PDB,flDPnn3b,0.1,0.5916,0.5423,0.6021,0.0842,0.5320,-0.0596,12
Disorder-PDB,flDPnn3b,0.05,0.6823,0.6639,0.7204,0.0466,0.7010,0.0187,12
Disorder-PDB,pyHCA,0.2,0.5828,0.5655,0.6296,0.2169,0.5090,-0.0738,12
Disorder-PDB,pyHCA,0.1,0.7835,0.7595,0.7963,0.0989,0.7230,-0.0605,12
